,AUDUSD Curncy_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1003.0309931328054
10043,1003.0309931328054
10044,1003.0309931328054
10045,1003.0309931328054
10046,1003.0309931328054
10047,1003.0309931328054
10048,1003.0309931328054
10049,1003.0309931328054
10050,1003.0309931328054
10051,1003.0309931328054
10052,1003.0309931328054
10053,1003.0309931328054
10054,1003.0309931328054
10055,1003.0309931328054
10056,1003.0309931328054
10057,1003.0309931328054
10058,1003.0309931328054
10059,1003.0309931328054
10060,1003.0309931328054
10061,1003.0309931328054
10062,1003.0309931328054
10063,1003.0309931328054
10064,1003.0309931328054
10065,1003.0309931328054
10066,1003.0309931328054
10067,1003.0309931328054
10068,1003.0309931328054
10069,1003.0309931328054
10070,1003.0309931328054
10071,1003.0309931328054
10072,1003.0309931328054
10073,1003.0309931328054
10074,1003.0309931328054
10075,1003.0309931328054
10076,1003.0309931328054
10077,1003.0309931328054
10078,1003.0309931328054
10079,1003.0309931328054
10080,1003.0309931328054
10081,1003.0309931328054
10082,1003.0309931328054
10083,1003.0309931328054
10084,1003.0309931328054
10085,1003.0309931328054
10086,1003.0309931328054
10087,1003.0309931328054
10088,1003.0309931328054
10089,1003.0309931328054
10090,1003.0309931328054
10091,1003.0309931328054
10092,1003.0309931328054
10093,1003.0309931328054
10094,1003.0309931328054
10095,1003.0309931328054
10096,1003.0309931328054
10097,1003.0309931328054
10098,1003.0309931328054
10099,1003.0309931328054
10100,1003.0309931328054
10101,1003.0309931328054
10102,1003.0309931328054
10103,1003.0309931328054
10104,1003.0309931328054
10105,1003.0309931328054
10106,1003.0309931328054
10107,1003.0309931328054
10108,1003.0309931328054
10109,1003.0309931328054
10110,1003.0309931328054
10111,1003.0309931328054
10112,1003.0309931328054
10113,1003.0309931328054
10114,1003.0309931328054
10115,1003.0309931328054
10116,1003.0309931328054
