,CHPMINDX Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,961.3003980916543
10043,961.3003980916543
10044,961.3003980916543
10045,961.3003980916543
10046,961.3003980916543
10047,961.3003980916543
10048,961.3003980916543
10049,961.3003980916543
10050,961.3003980916543
10051,961.3003980916543
10052,961.3003980916543
10053,961.3003980916543
10054,961.3003980916543
10055,961.3003980916543
10056,961.3003980916543
10057,961.3003980916543
10058,961.3003980916543
10059,961.3003980916543
10060,961.3003980916543
10061,961.3003980916543
10062,961.3003980916543
10063,961.3003980916543
10064,961.3003980916543
10065,961.3003980916543
10066,961.3003980916543
10067,961.3003980916543
10068,961.3003980916543
10069,961.3003980916543
10070,961.3003980916543
10071,961.3003980916543
10072,961.3003980916543
10073,961.3003980916543
10074,961.3003980916543
10075,961.3003980916543
10076,961.3003980916543
10077,961.3003980916543
10078,961.3003980916543
10079,961.3003980916543
10080,961.3003980916543
10081,961.3003980916543
10082,961.3003980916543
10083,961.3003980916543
10084,961.3003980916543
10085,961.3003980916543
10086,961.3003980916543
10087,961.3003980916543
10088,961.3003980916543
10089,961.3003980916543
10090,961.3003980916543
10091,961.3003980916543
10092,961.3003980916543
10093,961.3003980916543
10094,961.3003980916543
10095,961.3003980916543
10096,961.3003980916543
10097,961.3003980916543
10098,961.3003980916543
10099,961.3003980916543
10100,961.3003980916543
10101,961.3003980916543
10102,961.3003980916543
10103,961.3003980916543
10104,961.3003980916543
10105,961.3003980916543
10106,961.3003980916543
10107,961.3003980916543
10108,961.3003980916543
10109,961.3003980916543
10110,961.3003980916543
10111,961.3003980916543
10112,961.3003980916543
10113,961.3003980916543
10114,961.3003980916543
10115,961.3003980916543
10116,961.3003980916543
10117,961.3003980916543
10118,961.3003980916543
10119,961.3003980916543
10120,961.3003980916543
10121,961.3003980916543
10122,961.3003980916543
10123,961.3003980916543
