,CPI CHNG Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1215.6218402426691
10043,1215.6218402426691
10044,1215.6218402426691
10045,1215.6218402426691
10046,1215.6218402426691
10047,1215.6218402426691
10048,1215.6218402426691
10049,1215.6218402426691
10050,1215.6218402426691
10051,1215.6218402426691
10052,1215.6218402426691
10053,1215.6218402426691
10054,1215.6218402426691
10055,1215.6218402426691
10056,1215.6218402426691
10057,1215.6218402426691
10058,1215.6218402426691
10059,1215.6218402426691
10060,1215.6218402426691
10061,1215.6218402426691
10062,1215.6218402426691
10063,1215.6218402426691
10064,1215.6218402426691
10065,1215.6218402426691
10066,1215.6218402426691
10067,1215.6218402426691
10068,1215.6218402426691
10069,1215.6218402426691
10070,1215.6218402426691
10071,1215.6218402426691
10072,1215.6218402426691
10073,1215.6218402426691
10074,1215.6218402426691
10075,1215.6218402426691
10076,1215.6218402426691
10077,1215.6218402426691
10078,1215.6218402426691
10079,1215.6218402426691
10080,1215.6218402426691
10081,1215.6218402426691
10082,1215.6218402426691
10083,1215.6218402426691
10084,1215.6218402426691
10085,1215.6218402426691
10086,1215.6218402426691
10087,1215.6218402426691
10088,1215.6218402426691
10089,1215.6218402426691
10090,1215.6218402426691
10091,1215.6218402426691
10092,1215.6218402426691
10093,1215.6218402426691
10094,1215.6218402426691
10095,1215.6218402426691
10096,1215.6218402426691
10097,1215.6218402426691
10098,1215.6218402426691
10099,1215.6218402426691
10100,1215.6218402426691
10101,1215.6218402426691
10102,1215.6218402426691
10103,1215.6218402426691
10104,1215.6218402426691
10105,1215.6218402426691
10106,1215.6218402426691
10107,1215.6218402426691
10108,1215.6218402426691
10109,1215.6218402426691
10110,1215.6218402426691
10111,1215.6218402426691
10112,1215.6218402426691
10113,1215.6218402426691
10114,1215.6218402426691
10115,1215.6218402426691
10116,1215.6218402426691
