,CPUPAXFE Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1011.6994368331314
10043,1011.6994368331314
10044,1011.6994368331314
10045,1011.6994368331314
10046,1011.6994368331314
10047,1011.6994368331314
10048,1011.6994368331314
10049,1011.6994368331314
10050,1011.6994368331314
10051,1011.6994368331314
10052,1011.6994368331314
10053,1011.6994368331314
10054,1011.6994368331314
10055,1011.6994368331314
10056,1011.6994368331314
10057,1011.6994368331314
10058,1011.6994368331314
10059,1011.6994368331314
10060,1011.6994368331314
10061,1011.6994368331314
10062,1011.6994368331314
10063,1011.6994368331314
10064,1011.6994368331314
10065,1011.6994368331314
10066,1011.6994368331314
10067,1011.6994368331314
10068,1011.6994368331314
10069,1011.6994368331314
10070,1011.6994368331314
10071,1011.6994368331314
10072,1011.6994368331314
10073,1011.6994368331314
10074,1011.6994368331314
10075,1011.6994368331314
10076,1011.6994368331314
10077,1011.6994368331314
10078,1011.6994368331314
10079,1011.6994368331314
10080,1011.6994368331314
10081,1011.6994368331314
10082,1011.6994368331314
10083,1011.6994368331314
10084,1011.6994368331314
10085,1011.6994368331314
10086,1011.6994368331314
10087,1011.6994368331314
10088,1011.6994368331314
10089,1011.6994368331314
10090,1011.6994368331314
10091,1011.6994368331314
10092,1011.6994368331314
10093,1011.6994368331314
10094,1011.6994368331314
10095,1011.6994368331314
10096,1011.6994368331314
10097,1011.6994368331314
10098,1011.6994368331314
10099,1011.6994368331314
10100,1011.6994368331314
10101,1011.6994368331314
10102,1011.6994368331314
10103,1011.6994368331314
10104,1011.6994368331314
10105,1011.6994368331314
10106,1011.6994368331314
10107,1011.6994368331314
10108,1011.6994368331314
10109,1011.6994368331314
10110,1011.6994368331314
10111,1011.6994368331314
10112,1011.6994368331314
10113,1011.6994368331314
10114,1011.6994368331314
10115,1011.6994368331314
10116,1011.6994368331314
