,CPUPXCHG Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,986.259228876128
10043,986.259228876128
10044,986.259228876128
10045,986.259228876128
10046,986.259228876128
10047,986.259228876128
10048,986.259228876128
10049,986.259228876128
10050,986.259228876128
10051,986.259228876128
10052,986.259228876128
10053,986.259228876128
10054,986.259228876128
10055,986.259228876128
10056,986.259228876128
10057,986.259228876128
10058,986.259228876128
10059,986.259228876128
10060,986.259228876128
10061,986.259228876128
10062,986.259228876128
10063,986.259228876128
10064,986.259228876128
10065,986.259228876128
10066,986.259228876128
10067,986.259228876128
10068,986.259228876128
10069,986.259228876128
10070,986.259228876128
10071,986.259228876128
10072,986.259228876128
10073,986.259228876128
10074,986.259228876128
10075,986.259228876128
10076,986.259228876128
10077,986.259228876128
10078,986.259228876128
10079,986.259228876128
10080,986.259228876128
10081,986.259228876128
10082,986.259228876128
10083,986.259228876128
10084,986.259228876128
10085,986.259228876128
10086,986.259228876128
10087,986.259228876128
10088,986.259228876128
10089,986.259228876128
10090,986.259228876128
10091,986.259228876128
10092,986.259228876128
10093,986.259228876128
10094,986.259228876128
10095,986.259228876128
10096,986.259228876128
10097,986.259228876128
10098,986.259228876128
10099,986.259228876128
10100,986.259228876128
10101,986.259228876128
10102,986.259228876128
10103,986.259228876128
10104,986.259228876128
10105,986.259228876128
10106,986.259228876128
10107,986.259228876128
10108,986.259228876128
10109,986.259228876128
10110,986.259228876128
10111,986.259228876128
10112,986.259228876128
10113,986.259228876128
10114,986.259228876128
10115,986.259228876128
10116,986.259228876128
10117,986.259228876128
10118,986.259228876128
10119,986.259228876128
10120,986.259228876128
10121,986.259228876128
10122,986.259228876128
10123,986.259228876128
10124,986.259228876128
10125,986.259228876128
10126,986.259228876128
10127,986.259228876128
10128,986.259228876128
10129,986.259228876128
10130,986.259228876128
10131,986.259228876128
