,DGNOXTCH Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1376.3285024154584
10043,1376.3285024154584
10044,1376.3285024154584
10045,1376.3285024154584
10046,1376.3285024154584
10047,1376.3285024154584
10048,1376.3285024154584
10049,1376.3285024154584
10050,1376.3285024154584
10051,1376.3285024154584
10052,1376.3285024154584
10053,1376.3285024154584
10054,1376.3285024154584
10055,1376.3285024154584
10056,1376.3285024154584
10057,1376.3285024154584
10058,1376.3285024154584
10059,1376.3285024154584
10060,1376.3285024154584
10061,1376.3285024154584
10062,1376.3285024154584
10063,1376.3285024154584
10064,1376.3285024154584
10065,1376.3285024154584
10066,1376.3285024154584
10067,1376.3285024154584
10068,1376.3285024154584
10069,1376.3285024154584
10070,1376.3285024154584
10071,1376.3285024154584
10072,1376.3285024154584
10073,1376.3285024154584
10074,1376.3285024154584
10075,1376.3285024154584
10076,1376.3285024154584
10077,1376.3285024154584
10078,1376.3285024154584
10079,1376.3285024154584
10080,1376.3285024154584
10081,1376.3285024154584
10082,1376.3285024154584
10083,1376.3285024154584
10084,1376.3285024154584
10085,1376.3285024154584
10086,1376.3285024154584
10087,1376.3285024154584
10088,1376.3285024154584
10089,1376.3285024154584
10090,1376.3285024154584
10091,1376.3285024154584
10092,1376.3285024154584
10093,1376.3285024154584
10094,1376.3285024154584
10095,1376.3285024154584
10096,1376.3285024154584
10097,1376.3285024154584
10098,1376.3285024154584
10099,1376.3285024154584
10100,1376.3285024154584
10101,1376.3285024154584
10102,1376.3285024154584
10103,1376.3285024154584
10104,1376.3285024154584
10105,1376.3285024154584
10106,1376.3285024154584
10107,1376.3285024154584
10108,1376.3285024154584
10109,1376.3285024154584
10110,1376.3285024154584
10111,1376.3285024154584
10112,1376.3285024154584
10113,1376.3285024154584
10114,1376.3285024154584
10115,1376.3285024154584
10116,1376.3285024154584
