,DXY Curncy_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,988.6860865539884
10043,988.6860865539884
10044,988.6860865539884
10045,988.6860865539884
10046,988.6860865539884
10047,988.6860865539884
10048,988.6860865539884
10049,988.6860865539884
10050,988.6860865539884
10051,988.6860865539884
10052,988.6860865539884
10053,988.6860865539884
10054,988.6860865539884
10055,988.6860865539884
10056,988.6860865539884
10057,988.6860865539884
10058,988.6860865539884
10059,988.6860865539884
10060,988.6860865539884
10061,988.6860865539884
10062,988.6860865539884
10063,988.6860865539884
10064,988.6860865539884
10065,988.6860865539884
10066,988.6860865539884
10067,988.6860865539884
10068,988.6860865539884
10069,988.6860865539884
10070,988.6860865539884
10071,988.6860865539884
10072,988.6860865539884
10073,988.6860865539884
10074,988.6860865539884
10075,988.6860865539884
10076,988.6860865539884
10077,988.6860865539884
10078,988.6860865539884
10079,988.6860865539884
10080,988.6860865539884
10081,988.6860865539884
10082,988.6860865539884
10083,988.6860865539884
10084,988.6860865539884
10085,988.6860865539884
10086,988.6860865539884
10087,988.6860865539884
10088,988.6860865539884
10089,988.6860865539884
10090,988.6860865539884
10091,988.6860865539884
10092,988.6860865539884
10093,988.6860865539884
10094,988.6860865539884
10095,988.6860865539884
10096,988.6860865539884
10097,988.6860865539884
10098,988.6860865539884
10099,988.6860865539884
10100,988.6860865539884
10101,988.6860865539884
10102,988.6860865539884
10103,988.6860865539884
10104,988.6860865539884
10105,988.6860865539884
10106,988.6860865539884
10107,988.6860865539884
10108,988.6860865539884
10109,988.6860865539884
10110,988.6860865539884
10111,988.6860865539884
10112,988.6860865539884
10113,988.6860865539884
10114,988.6860865539884
10115,988.6860865539884
10116,988.6860865539884
10117,988.6860865539884
10118,988.6860865539884
10119,988.6860865539884
10120,988.6860865539884
10121,988.6860865539884
10122,988.6860865539884
10123,988.6860865539884
