,FDDSSD Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,424.0850328090377
10043,424.0850328090377
10044,424.0850328090377
10045,424.0850328090377
10046,424.0850328090377
10047,424.0850328090377
10048,424.0850328090377
10049,424.0850328090377
10050,424.0850328090377
10051,424.0850328090377
10052,424.0850328090377
10053,424.0850328090377
10054,424.0850328090377
10055,424.0850328090377
10056,424.0850328090377
10057,424.0850328090377
10058,424.0850328090377
10059,424.0850328090377
10060,424.0850328090377
10061,424.0850328090377
10062,424.0850328090377
10063,424.0850328090377
10064,424.0850328090377
10065,424.0850328090377
10066,424.0850328090377
10067,424.0850328090377
10068,424.0850328090377
10069,424.0850328090377
10070,424.0850328090377
10071,424.0850328090377
10072,424.0850328090377
10073,424.0850328090377
10074,424.0850328090377
10075,424.0850328090377
10076,424.0850328090377
10077,424.0850328090377
10078,424.0850328090377
10079,424.0850328090377
10080,424.0850328090377
10081,424.0850328090377
10082,424.0850328090377
10083,424.0850328090377
10084,424.0850328090377
10085,424.0850328090377
10086,424.0850328090377
10087,424.0850328090377
10088,424.0850328090377
10089,424.0850328090377
10090,424.0850328090377
10091,424.0850328090377
10092,424.0850328090377
10093,424.0850328090377
10094,424.0850328090377
10095,424.0850328090377
10096,424.0850328090377
10097,424.0850328090377
10098,424.0850328090377
10099,424.0850328090377
10100,424.0850328090377
10101,424.0850328090377
10102,424.0850328090377
10103,424.0850328090377
10104,424.0850328090377
10105,424.0850328090377
10106,424.0850328090377
10107,424.0850328090377
10108,424.0850328090377
10109,424.0850328090377
10110,424.0850328090377
10111,424.0850328090377
10112,424.0850328090377
10113,424.0850328090377
10114,424.0850328090377
10115,424.0850328090377
10116,424.0850328090377
10117,424.0850328090377
10118,424.0850328090377
10119,424.0850328090377
10120,424.0850328090377
10121,424.0850328090377
10122,424.0850328090377
10123,424.0850328090377
