,FDTR Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1016.7110322389826
10043,1016.7110322389826
10044,1016.7110322389826
10045,1016.7110322389826
10046,1016.7110322389826
10047,1016.7110322389826
10048,1016.7110322389826
10049,1016.7110322389826
10050,1016.7110322389826
10051,1016.7110322389826
10052,1016.7110322389826
10053,1016.7110322389826
10054,1016.7110322389826
10055,1016.7110322389826
10056,1016.7110322389826
10057,1016.7110322389826
10058,1016.7110322389826
10059,1016.7110322389826
10060,1016.7110322389826
10061,1016.7110322389826
10062,1016.7110322389826
10063,1016.7110322389826
10064,1016.7110322389826
10065,1016.7110322389826
10066,1016.7110322389826
10067,1016.7110322389826
10068,1016.7110322389826
10069,1016.7110322389826
10070,1016.7110322389826
10071,1016.7110322389826
10072,1016.7110322389826
10073,1016.7110322389826
10074,1016.7110322389826
10075,1016.7110322389826
10076,1016.7110322389826
10077,1016.7110322389826
10078,1016.7110322389826
10079,1016.7110322389826
10080,1016.7110322389826
10081,1016.7110322389826
10082,1016.7110322389826
10083,1016.7110322389826
10084,1016.7110322389826
10085,1016.7110322389826
10086,1016.7110322389826
10087,1016.7110322389826
10088,1016.7110322389826
10089,1016.7110322389826
10090,1016.7110322389826
10091,1016.7110322389826
10092,1016.7110322389826
10093,1016.7110322389826
10094,1016.7110322389826
10095,1016.7110322389826
10096,1016.7110322389826
10097,1016.7110322389826
10098,1016.7110322389826
10099,1016.7110322389826
10100,1016.7110322389826
10101,1016.7110322389826
10102,1016.7110322389826
10103,1016.7110322389826
10104,1016.7110322389826
10105,1016.7110322389826
10106,1016.7110322389826
10107,1016.7110322389826
10108,1016.7110322389826
10109,1016.7110322389826
10110,1016.7110322389826
10111,1016.7110322389826
10112,1016.7110322389826
10113,1016.7110322389826
10114,1016.7110322389826
10115,1016.7110322389826
10116,1016.7110322389826
