,GDPCPCEC Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,928.8960395284639
10043,928.8960395284639
10044,928.8960395284639
10045,928.8960395284639
10046,928.8960395284639
10047,928.8960395284639
10048,928.8960395284639
10049,928.8960395284639
10050,928.8960395284639
10051,928.8960395284639
10052,928.8960395284639
10053,928.8960395284639
10054,928.8960395284639
10055,928.8960395284639
10056,928.8960395284639
10057,928.8960395284639
10058,928.8960395284639
10059,928.8960395284639
10060,928.8960395284639
10061,928.8960395284639
10062,928.8960395284639
10063,928.8960395284639
10064,928.8960395284639
10065,928.8960395284639
10066,928.8960395284639
10067,928.8960395284639
10068,928.8960395284639
10069,928.8960395284639
10070,928.8960395284639
10071,928.8960395284639
10072,928.8960395284639
10073,928.8960395284639
10074,928.8960395284639
10075,928.8960395284639
10076,928.8960395284639
10077,928.8960395284639
10078,928.8960395284639
10079,928.8960395284639
10080,928.8960395284639
10081,928.8960395284639
10082,928.8960395284639
10083,928.8960395284639
10084,928.8960395284639
10085,928.8960395284639
10086,928.8960395284639
10087,928.8960395284639
10088,928.8960395284639
10089,928.8960395284639
10090,928.8960395284639
10091,928.8960395284639
10092,928.8960395284639
10093,928.8960395284639
10094,928.8960395284639
10095,928.8960395284639
10096,928.8960395284639
10097,928.8960395284639
10098,928.8960395284639
10099,928.8960395284639
10100,928.8960395284639
10101,928.8960395284639
10102,928.8960395284639
10103,928.8960395284639
10104,928.8960395284639
10105,928.8960395284639
10106,928.8960395284639
10107,928.8960395284639
10108,928.8960395284639
10109,928.8960395284639
10110,928.8960395284639
10111,928.8960395284639
10112,928.8960395284639
10113,928.8960395284639
10114,928.8960395284639
10115,928.8960395284639
10116,928.8960395284639
10117,928.8960395284639
10118,928.8960395284639
10119,928.8960395284639
10120,928.8960395284639
10121,928.8960395284639
10122,928.8960395284639
10123,928.8960395284639
