,INJCSP Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,988.0047594464245
10043,988.0047594464245
10044,988.0047594464245
10045,988.0047594464245
10046,988.0047594464245
10047,988.0047594464245
10048,988.0047594464245
10049,988.0047594464245
10050,988.0047594464245
10051,988.0047594464245
10052,988.0047594464245
10053,988.0047594464245
10054,988.0047594464245
10055,988.0047594464245
10056,988.0047594464245
10057,988.0047594464245
10058,988.0047594464245
10059,988.0047594464245
10060,988.0047594464245
10061,988.0047594464245
10062,988.0047594464245
10063,988.0047594464245
10064,988.0047594464245
10065,988.0047594464245
10066,988.0047594464245
10067,988.0047594464245
10068,988.0047594464245
10069,988.0047594464245
10070,988.0047594464245
10071,988.0047594464245
10072,988.0047594464245
10073,988.0047594464245
10074,988.0047594464245
10075,988.0047594464245
10076,988.0047594464245
10077,988.0047594464245
10078,988.0047594464245
10079,988.0047594464245
10080,988.0047594464245
10081,988.0047594464245
10082,988.0047594464245
10083,988.0047594464245
10084,988.0047594464245
10085,988.0047594464245
10086,988.0047594464245
10087,988.0047594464245
10088,988.0047594464245
10089,988.0047594464245
10090,988.0047594464245
10091,988.0047594464245
10092,988.0047594464245
10093,988.0047594464245
10094,988.0047594464245
10095,988.0047594464245
10096,988.0047594464245
10097,988.0047594464245
10098,988.0047594464245
10099,988.0047594464245
10100,988.0047594464245
10101,988.0047594464245
10102,988.0047594464245
10103,988.0047594464245
10104,988.0047594464245
10105,988.0047594464245
10106,988.0047594464245
10107,988.0047594464245
10108,988.0047594464245
10109,988.0047594464245
10110,988.0047594464245
10111,988.0047594464245
10112,988.0047594464245
10113,988.0047594464245
10114,988.0047594464245
10115,988.0047594464245
10116,988.0047594464245
10117,988.0047594464245
10118,988.0047594464245
10119,988.0047594464245
10120,988.0047594464245
10121,988.0047594464245
10122,988.0047594464245
10123,988.0047594464245
