,LEI CHNG Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,790.7218639484086
10043,790.7218639484086
10044,790.7218639484086
10045,790.7218639484086
10046,790.7218639484086
10047,790.7218639484086
10048,790.7218639484086
10049,790.7218639484086
10050,790.7218639484086
10051,790.7218639484086
10052,790.7218639484086
10053,790.7218639484086
10054,790.7218639484086
10055,790.7218639484086
10056,790.7218639484086
10057,790.7218639484086
10058,790.7218639484086
10059,790.7218639484086
10060,790.7218639484086
10061,790.7218639484086
10062,790.7218639484086
10063,790.7218639484086
10064,790.7218639484086
10065,790.7218639484086
10066,790.7218639484086
10067,790.7218639484086
10068,790.7218639484086
10069,790.7218639484086
10070,790.7218639484086
10071,790.7218639484086
10072,790.7218639484086
10073,790.7218639484086
10074,790.7218639484086
10075,790.7218639484086
10076,790.7218639484086
10077,790.7218639484086
10078,790.7218639484086
10079,790.7218639484086
10080,790.7218639484086
10081,790.7218639484086
10082,790.7218639484086
10083,790.7218639484086
10084,790.7218639484086
10085,790.7218639484086
10086,790.7218639484086
10087,790.7218639484086
10088,790.7218639484086
10089,790.7218639484086
10090,790.7218639484086
10091,790.7218639484086
10092,790.7218639484086
10093,790.7218639484086
10094,790.7218639484086
10095,790.7218639484086
10096,790.7218639484086
10097,790.7218639484086
10098,790.7218639484086
10099,790.7218639484086
10100,790.7218639484086
10101,790.7218639484086
10102,790.7218639484086
10103,790.7218639484086
10104,790.7218639484086
10105,790.7218639484086
10106,790.7218639484086
10107,790.7218639484086
10108,790.7218639484086
10109,790.7218639484086
10110,790.7218639484086
10111,790.7218639484086
10112,790.7218639484086
10113,790.7218639484086
10114,790.7218639484086
10115,790.7218639484086
10116,790.7218639484086
10117,790.7218639484086
10118,790.7218639484086
10119,790.7218639484086
10120,790.7218639484086
10121,790.7218639484086
10122,790.7218639484086
10123,790.7218639484086
