,NAPMPMI Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,958.4797284827689
10043,958.4797284827689
10044,958.4797284827689
10045,958.4797284827689
10046,958.4797284827689
10047,958.4797284827689
10048,958.4797284827689
10049,958.4797284827689
10050,958.4797284827689
10051,958.4797284827689
10052,958.4797284827689
10053,958.4797284827689
10054,958.4797284827689
10055,958.4797284827689
10056,958.4797284827689
10057,958.4797284827689
10058,958.4797284827689
10059,958.4797284827689
10060,958.4797284827689
10061,958.4797284827689
10062,958.4797284827689
10063,958.4797284827689
10064,958.4797284827689
10065,958.4797284827689
10066,958.4797284827689
10067,958.4797284827689
10068,958.4797284827689
10069,958.4797284827689
10070,958.4797284827689
10071,958.4797284827689
10072,958.4797284827689
10073,958.4797284827689
10074,958.4797284827689
10075,958.4797284827689
10076,958.4797284827689
10077,958.4797284827689
10078,958.4797284827689
10079,958.4797284827689
10080,958.4797284827689
10081,958.4797284827689
10082,958.4797284827689
10083,958.4797284827689
10084,958.4797284827689
10085,958.4797284827689
10086,958.4797284827689
10087,958.4797284827689
10088,958.4797284827689
10089,958.4797284827689
10090,958.4797284827689
10091,958.4797284827689
10092,958.4797284827689
10093,958.4797284827689
10094,958.4797284827689
10095,958.4797284827689
10096,958.4797284827689
10097,958.4797284827689
10098,958.4797284827689
10099,958.4797284827689
10100,958.4797284827689
10101,958.4797284827689
10102,958.4797284827689
10103,958.4797284827689
10104,958.4797284827689
10105,958.4797284827689
10106,958.4797284827689
10107,958.4797284827689
10108,958.4797284827689
10109,958.4797284827689
10110,958.4797284827689
10111,958.4797284827689
10112,958.4797284827689
10113,958.4797284827689
10114,958.4797284827689
10115,958.4797284827689
10116,958.4797284827689
10117,958.4797284827689
10118,958.4797284827689
10119,958.4797284827689
10120,958.4797284827689
10121,958.4797284827689
10122,958.4797284827689
10123,958.4797284827689
