,NHCHSTCH Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1371.052258886843
10043,1371.052258886843
10044,1371.052258886843
10045,1371.052258886843
10046,1371.052258886843
10047,1371.052258886843
10048,1371.052258886843
10049,1371.052258886843
10050,1371.052258886843
10051,1371.052258886843
10052,1371.052258886843
10053,1371.052258886843
10054,1371.052258886843
10055,1371.052258886843
10056,1371.052258886843
10057,1371.052258886843
10058,1371.052258886843
10059,1371.052258886843
10060,1371.052258886843
10061,1371.052258886843
10062,1371.052258886843
10063,1371.052258886843
10064,1371.052258886843
10065,1371.052258886843
10066,1371.052258886843
10067,1371.052258886843
10068,1371.052258886843
10069,1371.052258886843
10070,1371.052258886843
10071,1371.052258886843
10072,1371.052258886843
10073,1371.052258886843
10074,1371.052258886843
10075,1371.052258886843
10076,1371.052258886843
10077,1371.052258886843
10078,1371.052258886843
10079,1371.052258886843
10080,1371.052258886843
10081,1371.052258886843
10082,1371.052258886843
10083,1371.052258886843
10084,1371.052258886843
10085,1371.052258886843
10086,1371.052258886843
10087,1371.052258886843
10088,1371.052258886843
10089,1371.052258886843
10090,1371.052258886843
10091,1371.052258886843
10092,1371.052258886843
10093,1371.052258886843
10094,1371.052258886843
10095,1371.052258886843
10096,1371.052258886843
10097,1371.052258886843
10098,1371.052258886843
10099,1371.052258886843
10100,1371.052258886843
10101,1371.052258886843
10102,1371.052258886843
10103,1371.052258886843
10104,1371.052258886843
10105,1371.052258886843
10106,1371.052258886843
10107,1371.052258886843
10108,1371.052258886843
10109,1371.052258886843
10110,1371.052258886843
10111,1371.052258886843
10112,1371.052258886843
10113,1371.052258886843
10114,1371.052258886843
10115,1371.052258886843
10116,1371.052258886843
10117,1371.052258886843
10118,1371.052258886843
10119,1371.052258886843
10120,1371.052258886843
10121,1371.052258886843
10122,1371.052258886843
10123,1371.052258886843
