,NHSLCHNG Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,-116.68287262119749
10043,-116.68287262119749
10044,-116.68287262119749
10045,-116.68287262119749
10046,-116.68287262119749
10047,-116.68287262119749
10048,-116.68287262119749
10049,-116.68287262119749
10050,-116.68287262119749
10051,-116.68287262119749
10052,-116.68287262119749
10053,-116.68287262119749
10054,-116.68287262119749
10055,-116.68287262119749
10056,-116.68287262119749
10057,-116.68287262119749
10058,-116.68287262119749
10059,-116.68287262119749
10060,-116.68287262119749
10061,-116.68287262119749
10062,-116.68287262119749
10063,-116.68287262119749
10064,-116.68287262119749
10065,-116.68287262119749
10066,-116.68287262119749
10067,-116.68287262119749
10068,-116.68287262119749
10069,-116.68287262119749
10070,-116.68287262119749
10071,-116.68287262119749
10072,-116.68287262119749
10073,-116.68287262119749
10074,-116.68287262119749
10075,-116.68287262119749
10076,-116.68287262119749
10077,-116.68287262119749
10078,-116.68287262119749
10079,-116.68287262119749
10080,-116.68287262119749
10081,-116.68287262119749
10082,-116.68287262119749
10083,-116.68287262119749
10084,-116.68287262119749
10085,-116.68287262119749
10086,-116.68287262119749
10087,-116.68287262119749
10088,-116.68287262119749
10089,-116.68287262119749
10090,-116.68287262119749
10091,-116.68287262119749
10092,-116.68287262119749
10093,-116.68287262119749
10094,-116.68287262119749
10095,-116.68287262119749
10096,-116.68287262119749
10097,-116.68287262119749
10098,-116.68287262119749
10099,-116.68287262119749
10100,-116.68287262119749
10101,-116.68287262119749
10102,-116.68287262119749
10103,-116.68287262119749
10104,-116.68287262119749
10105,-116.68287262119749
10106,-116.68287262119749
10107,-116.68287262119749
10108,-116.68287262119749
10109,-116.68287262119749
10110,-116.68287262119749
10111,-116.68287262119749
10112,-116.68287262119749
10113,-116.68287262119749
10114,-116.68287262119749
10115,-116.68287262119749
10116,-116.68287262119749
