,NHSLTOT Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,980.959932706703
10043,980.959932706703
10044,980.959932706703
10045,980.959932706703
10046,980.959932706703
10047,980.959932706703
10048,980.959932706703
10049,980.959932706703
10050,980.959932706703
10051,980.959932706703
10052,980.959932706703
10053,980.959932706703
10054,980.959932706703
10055,980.959932706703
10056,980.959932706703
10057,980.959932706703
10058,980.959932706703
10059,980.959932706703
10060,980.959932706703
10061,980.959932706703
10062,980.959932706703
10063,980.959932706703
10064,980.959932706703
10065,980.959932706703
10066,980.959932706703
10067,980.959932706703
10068,980.959932706703
10069,980.959932706703
10070,980.959932706703
10071,980.959932706703
10072,980.959932706703
10073,980.959932706703
10074,980.959932706703
10075,980.959932706703
10076,980.959932706703
10077,980.959932706703
10078,980.959932706703
10079,980.959932706703
10080,980.959932706703
10081,980.959932706703
10082,980.959932706703
10083,980.959932706703
10084,980.959932706703
10085,980.959932706703
10086,980.959932706703
10087,980.959932706703
10088,980.959932706703
10089,980.959932706703
10090,980.959932706703
10091,980.959932706703
10092,980.959932706703
10093,980.959932706703
10094,980.959932706703
10095,980.959932706703
10096,980.959932706703
10097,980.959932706703
10098,980.959932706703
10099,980.959932706703
10100,980.959932706703
10101,980.959932706703
10102,980.959932706703
10103,980.959932706703
10104,980.959932706703
10105,980.959932706703
10106,980.959932706703
10107,980.959932706703
10108,980.959932706703
10109,980.959932706703
10110,980.959932706703
10111,980.959932706703
10112,980.959932706703
10113,980.959932706703
10114,980.959932706703
10115,980.959932706703
10116,980.959932706703
10117,980.959932706703
10118,980.959932706703
10119,980.959932706703
10120,980.959932706703
10121,980.959932706703
10122,980.959932706703
10123,980.959932706703
10124,980.959932706703
10125,980.959932706703
10126,980.959932706703
10127,980.959932706703
10128,980.959932706703
10129,980.959932706703
10130,980.959932706703
10131,980.959932706703
