,NHSPATOT Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1042.2540150298287
10043,1042.2540150298287
10044,1042.2540150298287
10045,1042.2540150298287
10046,1042.2540150298287
10047,1042.2540150298287
10048,1042.2540150298287
10049,1042.2540150298287
10050,1042.2540150298287
10051,1042.2540150298287
10052,1042.2540150298287
10053,1042.2540150298287
10054,1042.2540150298287
10055,1042.2540150298287
10056,1042.2540150298287
10057,1042.2540150298287
10058,1042.2540150298287
10059,1042.2540150298287
10060,1042.2540150298287
10061,1042.2540150298287
10062,1042.2540150298287
10063,1042.2540150298287
10064,1042.2540150298287
10065,1042.2540150298287
10066,1042.2540150298287
10067,1042.2540150298287
10068,1042.2540150298287
10069,1042.2540150298287
10070,1042.2540150298287
10071,1042.2540150298287
10072,1042.2540150298287
10073,1042.2540150298287
10074,1042.2540150298287
10075,1042.2540150298287
10076,1042.2540150298287
10077,1042.2540150298287
10078,1042.2540150298287
10079,1042.2540150298287
10080,1042.2540150298287
10081,1042.2540150298287
10082,1042.2540150298287
10083,1042.2540150298287
10084,1042.2540150298287
10085,1042.2540150298287
10086,1042.2540150298287
10087,1042.2540150298287
10088,1042.2540150298287
10089,1042.2540150298287
10090,1042.2540150298287
10091,1042.2540150298287
10092,1042.2540150298287
10093,1042.2540150298287
10094,1042.2540150298287
10095,1042.2540150298287
10096,1042.2540150298287
10097,1042.2540150298287
10098,1042.2540150298287
10099,1042.2540150298287
10100,1042.2540150298287
10101,1042.2540150298287
10102,1042.2540150298287
10103,1042.2540150298287
10104,1042.2540150298287
10105,1042.2540150298287
10106,1042.2540150298287
10107,1042.2540150298287
10108,1042.2540150298287
10109,1042.2540150298287
10110,1042.2540150298287
10111,1042.2540150298287
10112,1042.2540150298287
10113,1042.2540150298287
10114,1042.2540150298287
10115,1042.2540150298287
10116,1042.2540150298287
