,OUTFGAF Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,675.5560640732263
10043,675.5560640732263
10044,675.5560640732263
10045,675.5560640732263
10046,675.5560640732263
10047,675.5560640732263
10048,675.5560640732263
10049,675.5560640732263
10050,675.5560640732263
10051,675.5560640732263
10052,675.5560640732263
10053,675.5560640732263
10054,675.5560640732263
10055,675.5560640732263
10056,675.5560640732263
10057,675.5560640732263
10058,675.5560640732263
10059,675.5560640732263
10060,675.5560640732263
10061,675.5560640732263
10062,675.5560640732263
10063,675.5560640732263
10064,675.5560640732263
10065,675.5560640732263
10066,675.5560640732263
10067,675.5560640732263
10068,675.5560640732263
10069,675.5560640732263
10070,675.5560640732263
10071,675.5560640732263
10072,675.5560640732263
10073,675.5560640732263
10074,675.5560640732263
10075,675.5560640732263
10076,675.5560640732263
10077,675.5560640732263
10078,675.5560640732263
10079,675.5560640732263
10080,675.5560640732263
10081,675.5560640732263
10082,675.5560640732263
10083,675.5560640732263
10084,675.5560640732263
10085,675.5560640732263
10086,675.5560640732263
10087,675.5560640732263
10088,675.5560640732263
10089,675.5560640732263
10090,675.5560640732263
10091,675.5560640732263
10092,675.5560640732263
10093,675.5560640732263
10094,675.5560640732263
10095,675.5560640732263
10096,675.5560640732263
10097,675.5560640732263
10098,675.5560640732263
10099,675.5560640732263
10100,675.5560640732263
10101,675.5560640732263
10102,675.5560640732263
10103,675.5560640732263
10104,675.5560640732263
10105,675.5560640732263
10106,675.5560640732263
10107,675.5560640732263
10108,675.5560640732263
10109,675.5560640732263
10110,675.5560640732263
10111,675.5560640732263
10112,675.5560640732263
10113,675.5560640732263
10114,675.5560640732263
10115,675.5560640732263
10116,675.5560640732263
10117,675.5560640732263
10118,675.5560640732263
10119,675.5560640732263
10120,675.5560640732263
10121,675.5560640732263
10122,675.5560640732263
10123,675.5560640732263
