,PCE CRCH Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,964.0831758034028
10043,964.0831758034028
10044,964.0831758034028
10045,964.0831758034028
10046,964.0831758034028
10047,964.0831758034028
10048,964.0831758034028
10049,964.0831758034028
10050,964.0831758034028
10051,964.0831758034028
10052,964.0831758034028
10053,964.0831758034028
10054,964.0831758034028
10055,964.0831758034028
10056,964.0831758034028
10057,964.0831758034028
10058,964.0831758034028
10059,964.0831758034028
10060,964.0831758034028
10061,964.0831758034028
10062,964.0831758034028
10063,964.0831758034028
10064,964.0831758034028
10065,964.0831758034028
10066,964.0831758034028
10067,964.0831758034028
10068,964.0831758034028
10069,964.0831758034028
10070,964.0831758034028
10071,964.0831758034028
10072,964.0831758034028
10073,964.0831758034028
10074,964.0831758034028
10075,964.0831758034028
10076,964.0831758034028
10077,964.0831758034028
10078,964.0831758034028
10079,964.0831758034028
10080,964.0831758034028
10081,964.0831758034028
10082,964.0831758034028
10083,964.0831758034028
10084,964.0831758034028
10085,964.0831758034028
10086,964.0831758034028
10087,964.0831758034028
10088,964.0831758034028
10089,964.0831758034028
10090,964.0831758034028
10091,964.0831758034028
10092,964.0831758034028
10093,964.0831758034028
10094,964.0831758034028
10095,964.0831758034028
10096,964.0831758034028
10097,964.0831758034028
10098,964.0831758034028
10099,964.0831758034028
10100,964.0831758034028
10101,964.0831758034028
10102,964.0831758034028
10103,964.0831758034028
10104,964.0831758034028
10105,964.0831758034028
10106,964.0831758034028
10107,964.0831758034028
10108,964.0831758034028
10109,964.0831758034028
10110,964.0831758034028
10111,964.0831758034028
10112,964.0831758034028
10113,964.0831758034028
10114,964.0831758034028
10115,964.0831758034028
10116,964.0831758034028
10117,964.0831758034028
10118,964.0831758034028
10119,964.0831758034028
10120,964.0831758034028
10121,964.0831758034028
10122,964.0831758034028
10123,964.0831758034028
