,PCE DEFM Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1005.5816686251466
10043,1005.5816686251466
10044,1005.5816686251466
10045,1005.5816686251466
10046,1005.5816686251466
10047,1005.5816686251466
10048,1005.5816686251466
10049,1005.5816686251466
10050,1005.5816686251466
10051,1005.5816686251466
10052,1005.5816686251466
10053,1005.5816686251466
10054,1005.5816686251466
10055,1005.5816686251466
10056,1005.5816686251466
10057,1005.5816686251466
10058,1005.5816686251466
10059,1005.5816686251466
10060,1005.5816686251466
10061,1005.5816686251466
10062,1005.5816686251466
10063,1005.5816686251466
10064,1005.5816686251466
10065,1005.5816686251466
10066,1005.5816686251466
10067,1005.5816686251466
10068,1005.5816686251466
10069,1005.5816686251466
10070,1005.5816686251466
10071,1005.5816686251466
10072,1005.5816686251466
10073,1005.5816686251466
10074,1005.5816686251466
10075,1005.5816686251466
10076,1005.5816686251466
10077,1005.5816686251466
10078,1005.5816686251466
10079,1005.5816686251466
10080,1005.5816686251466
10081,1005.5816686251466
10082,1005.5816686251466
10083,1005.5816686251466
10084,1005.5816686251466
10085,1005.5816686251466
10086,1005.5816686251466
10087,1005.5816686251466
10088,1005.5816686251466
10089,1005.5816686251466
10090,1005.5816686251466
10091,1005.5816686251466
10092,1005.5816686251466
10093,1005.5816686251466
10094,1005.5816686251466
10095,1005.5816686251466
10096,1005.5816686251466
10097,1005.5816686251466
10098,1005.5816686251466
10099,1005.5816686251466
10100,1005.5816686251466
10101,1005.5816686251466
10102,1005.5816686251466
10103,1005.5816686251466
10104,1005.5816686251466
10105,1005.5816686251466
10106,1005.5816686251466
10107,1005.5816686251466
10108,1005.5816686251466
10109,1005.5816686251466
10110,1005.5816686251466
10111,1005.5816686251466
10112,1005.5816686251466
10113,1005.5816686251466
10114,1005.5816686251466
10115,1005.5816686251466
10116,1005.5816686251466
