,PCE DEFY Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1023.7694540513831
10043,1023.7694540513831
10044,1023.7694540513831
10045,1023.7694540513831
10046,1023.7694540513831
10047,1023.7694540513831
10048,1023.7694540513831
10049,1023.7694540513831
10050,1023.7694540513831
10051,1023.7694540513831
10052,1023.7694540513831
10053,1023.7694540513831
10054,1023.7694540513831
10055,1023.7694540513831
10056,1023.7694540513831
10057,1023.7694540513831
10058,1023.7694540513831
10059,1023.7694540513831
10060,1023.7694540513831
10061,1023.7694540513831
10062,1023.7694540513831
10063,1023.7694540513831
10064,1023.7694540513831
10065,1023.7694540513831
10066,1023.7694540513831
10067,1023.7694540513831
10068,1023.7694540513831
10069,1023.7694540513831
10070,1023.7694540513831
10071,1023.7694540513831
10072,1023.7694540513831
10073,1023.7694540513831
10074,1023.7694540513831
10075,1023.7694540513831
10076,1023.7694540513831
10077,1023.7694540513831
10078,1023.7694540513831
10079,1023.7694540513831
10080,1023.7694540513831
10081,1023.7694540513831
10082,1023.7694540513831
10083,1023.7694540513831
10084,1023.7694540513831
10085,1023.7694540513831
10086,1023.7694540513831
10087,1023.7694540513831
10088,1023.7694540513831
10089,1023.7694540513831
10090,1023.7694540513831
10091,1023.7694540513831
10092,1023.7694540513831
10093,1023.7694540513831
10094,1023.7694540513831
10095,1023.7694540513831
10096,1023.7694540513831
10097,1023.7694540513831
10098,1023.7694540513831
10099,1023.7694540513831
10100,1023.7694540513831
10101,1023.7694540513831
10102,1023.7694540513831
10103,1023.7694540513831
10104,1023.7694540513831
10105,1023.7694540513831
10106,1023.7694540513831
10107,1023.7694540513831
10108,1023.7694540513831
10109,1023.7694540513831
10110,1023.7694540513831
10111,1023.7694540513831
10112,1023.7694540513831
10113,1023.7694540513831
10114,1023.7694540513831
10115,1023.7694540513831
10116,1023.7694540513831
