,SAARDTOT Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1000.5843852267416
10043,1000.5843852267416
10044,1000.5843852267416
10045,1000.5843852267416
10046,1000.5843852267416
10047,1000.5843852267416
10048,1000.5843852267416
10049,1000.5843852267416
10050,1000.5843852267416
10051,1000.5843852267416
10052,1000.5843852267416
10053,1000.5843852267416
10054,1000.5843852267416
10055,1000.5843852267416
10056,1000.5843852267416
10057,1000.5843852267416
10058,1000.5843852267416
10059,1000.5843852267416
10060,1000.5843852267416
10061,1000.5843852267416
10062,1000.5843852267416
10063,1000.5843852267416
10064,1000.5843852267416
10065,1000.5843852267416
10066,1000.5843852267416
10067,1000.5843852267416
10068,1000.5843852267416
10069,1000.5843852267416
10070,1000.5843852267416
10071,1000.5843852267416
10072,1000.5843852267416
10073,1000.5843852267416
10074,1000.5843852267416
10075,1000.5843852267416
10076,1000.5843852267416
10077,1000.5843852267416
10078,1000.5843852267416
10079,1000.5843852267416
10080,1000.5843852267416
10081,1000.5843852267416
10082,1000.5843852267416
10083,1000.5843852267416
10084,1000.5843852267416
10085,1000.5843852267416
10086,1000.5843852267416
10087,1000.5843852267416
10088,1000.5843852267416
10089,1000.5843852267416
10090,1000.5843852267416
10091,1000.5843852267416
10092,1000.5843852267416
10093,1000.5843852267416
10094,1000.5843852267416
10095,1000.5843852267416
10096,1000.5843852267416
10097,1000.5843852267416
10098,1000.5843852267416
10099,1000.5843852267416
10100,1000.5843852267416
10101,1000.5843852267416
10102,1000.5843852267416
10103,1000.5843852267416
10104,1000.5843852267416
10105,1000.5843852267416
10106,1000.5843852267416
10107,1000.5843852267416
10108,1000.5843852267416
10109,1000.5843852267416
10110,1000.5843852267416
10111,1000.5843852267416
10112,1000.5843852267416
10113,1000.5843852267416
10114,1000.5843852267416
10115,1000.5843852267416
10116,1000.5843852267416
