,USDJPY Curncy_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,970.6720067510904
10043,970.6720067510904
10044,970.6720067510904
10045,970.6720067510904
10046,970.6720067510904
10047,970.6720067510904
10048,970.6720067510904
10049,970.6720067510904
10050,970.6720067510904
10051,970.6720067510904
10052,970.6720067510904
10053,970.6720067510904
10054,970.6720067510904
10055,970.6720067510904
10056,970.6720067510904
10057,970.6720067510904
10058,970.6720067510904
10059,970.6720067510904
10060,970.6720067510904
10061,970.6720067510904
10062,970.6720067510904
10063,970.6720067510904
10064,970.6720067510904
10065,970.6720067510904
10066,970.6720067510904
10067,970.6720067510904
10068,970.6720067510904
10069,970.6720067510904
10070,970.6720067510904
10071,970.6720067510904
10072,970.6720067510904
10073,970.6720067510904
10074,970.6720067510904
10075,970.6720067510904
10076,970.6720067510904
10077,970.6720067510904
10078,970.6720067510904
10079,970.6720067510904
10080,970.6720067510904
10081,970.6720067510904
10082,970.6720067510904
10083,970.6720067510904
10084,970.6720067510904
10085,970.6720067510904
10086,970.6720067510904
10087,970.6720067510904
10088,970.6720067510904
10089,970.6720067510904
10090,970.6720067510904
10091,970.6720067510904
10092,970.6720067510904
10093,970.6720067510904
10094,970.6720067510904
10095,970.6720067510904
10096,970.6720067510904
10097,970.6720067510904
10098,970.6720067510904
10099,970.6720067510904
10100,970.6720067510904
10101,970.6720067510904
10102,970.6720067510904
10103,970.6720067510904
10104,970.6720067510904
10105,970.6720067510904
10106,970.6720067510904
10107,970.6720067510904
10108,970.6720067510904
10109,970.6720067510904
10110,970.6720067510904
10111,970.6720067510904
10112,970.6720067510904
10113,970.6720067510904
10114,970.6720067510904
10115,970.6720067510904
10116,970.6720067510904
10117,970.6720067510904
10118,970.6720067510904
10119,970.6720067510904
10120,970.6720067510904
10121,970.6720067510904
10122,970.6720067510904
10123,970.6720067510904
