,USDMXN Curncy_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,1257.5971912123127
10043,1257.5971912123127
10044,1257.5971912123127
10045,1257.5971912123127
10046,1257.5971912123127
10047,1257.5971912123127
10048,1257.5971912123127
10049,1257.5971912123127
10050,1257.5971912123127
10051,1257.5971912123127
10052,1257.5971912123127
10053,1257.5971912123127
10054,1257.5971912123127
10055,1257.5971912123127
10056,1257.5971912123127
10057,1257.5971912123127
10058,1257.5971912123127
10059,1257.5971912123127
10060,1257.5971912123127
10061,1257.5971912123127
10062,1257.5971912123127
10063,1257.5971912123127
10064,1257.5971912123127
10065,1257.5971912123127
10066,1257.5971912123127
10067,1257.5971912123127
10068,1257.5971912123127
10069,1257.5971912123127
10070,1257.5971912123127
10071,1257.5971912123127
10072,1257.5971912123127
10073,1257.5971912123127
10074,1257.5971912123127
10075,1257.5971912123127
10076,1257.5971912123127
10077,1257.5971912123127
10078,1257.5971912123127
10079,1257.5971912123127
10080,1257.5971912123127
10081,1257.5971912123127
10082,1257.5971912123127
10083,1257.5971912123127
10084,1257.5971912123127
10085,1257.5971912123127
10086,1257.5971912123127
10087,1257.5971912123127
10088,1257.5971912123127
10089,1257.5971912123127
10090,1257.5971912123127
10091,1257.5971912123127
10092,1257.5971912123127
10093,1257.5971912123127
10094,1257.5971912123127
10095,1257.5971912123127
10096,1257.5971912123127
10097,1257.5971912123127
10098,1257.5971912123127
10099,1257.5971912123127
10100,1257.5971912123127
10101,1257.5971912123127
10102,1257.5971912123127
10103,1257.5971912123127
10104,1257.5971912123127
10105,1257.5971912123127
10106,1257.5971912123127
10107,1257.5971912123127
10108,1257.5971912123127
10109,1257.5971912123127
10110,1257.5971912123127
10111,1257.5971912123127
10112,1257.5971912123127
10113,1257.5971912123127
10114,1257.5971912123127
10115,1257.5971912123127
10116,1257.5971912123127
