,USMMMNCH Index_ratio
10000,
10001,
10002,
10003,
10004,
10005,
10006,
10007,
10008,
10009,
10010,
10011,
10012,
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,
10022,
10023,
10024,
10025,
10026,
10027,
10028,
10029,
10030,
10031,
10032,
10033,
10034,
10035,
10036,
10037,
10038,
10039,
10040,
10041,
10042,679.939918228959
10043,679.939918228959
10044,679.939918228959
10045,679.939918228959
10046,679.939918228959
10047,679.939918228959
10048,679.939918228959
10049,679.939918228959
10050,679.939918228959
10051,679.939918228959
10052,679.939918228959
10053,679.939918228959
10054,679.939918228959
10055,679.939918228959
10056,679.939918228959
10057,679.939918228959
10058,679.939918228959
10059,679.939918228959
10060,679.939918228959
10061,679.939918228959
10062,679.939918228959
10063,679.939918228959
10064,679.939918228959
10065,679.939918228959
10066,679.939918228959
10067,679.939918228959
10068,679.939918228959
10069,679.939918228959
10070,679.939918228959
10071,679.939918228959
10072,679.939918228959
10073,679.939918228959
10074,679.939918228959
10075,679.939918228959
10076,679.939918228959
10077,679.939918228959
10078,679.939918228959
10079,679.939918228959
10080,679.939918228959
10081,679.939918228959
10082,679.939918228959
10083,679.939918228959
10084,679.939918228959
10085,679.939918228959
10086,679.939918228959
10087,679.939918228959
10088,679.939918228959
10089,679.939918228959
10090,679.939918228959
10091,679.939918228959
10092,679.939918228959
10093,679.939918228959
10094,679.939918228959
10095,679.939918228959
10096,679.939918228959
10097,679.939918228959
10098,679.939918228959
10099,679.939918228959
10100,679.939918228959
10101,679.939918228959
10102,679.939918228959
10103,679.939918228959
10104,679.939918228959
10105,679.939918228959
10106,679.939918228959
10107,679.939918228959
10108,679.939918228959
10109,679.939918228959
10110,679.939918228959
10111,679.939918228959
10112,679.939918228959
10113,679.939918228959
10114,679.939918228959
10115,679.939918228959
10116,679.939918228959
10117,679.939918228959
10118,679.939918228959
10119,679.939918228959
10120,679.939918228959
10121,679.939918228959
10122,679.939918228959
10123,679.939918228959
10124,679.939918228959
10125,679.939918228959
10126,679.939918228959
10127,679.939918228959
10128,679.939918228959
10129,679.939918228959
10130,679.939918228959
10131,679.939918228959
